episode,agent,seed,reward,avg_reward,steps,lap_finished,visited_tiles,total_tiles,progress_percent,avg_progress_percent,end_reason,elapsed_seconds,loss,epsilon,pg_loss,vf_loss,entropy
114,PPO,42,68.173498,68.026714,343,False,29,283,10.247350,10.070671,no_progress,325.036069,,,,,
115,PPO,42,96.142049,67.803357,346,False,37,283,13.074205,10.035336,no_progress,326.937650,,,,,
116,PPO,42,56.005654,69.853498,288,False,24,283,8.480565,10.247350,no_progress,337.915134,-0.042277,,-0.001583,0.101511,1.321424
117,PPO,42,99.575618,70.226855,347,False,38,283,13.427562,10.282686,no_progress,339.614738,,,,,
118,PPO,42,95.542049,73.863781,352,False,37,283,13.074205,10.671378,no_progress,341.197242,,,,,
119,PPO,42,68.439929,71.373569,305,False,28,283,9.893993,10.353357,no_progress,342.679016,,,,,
120,PPO,42,92.608481,76.347279,346,False,36,283,12.720848,10.918728,no_progress,344.360305,,,,,
121,PPO,42,97.742049,80.327562,330,False,37,283,13.074205,11.342756,no_progress,345.974292,,,,,
122,PPO,42,95.442049,80.730919,353,False,37,283,13.074205,11.378092,no_progress,347.677643,,,,,
123,PPO,42,85.041343,85.471272,351,False,34,283,12.014134,11.908127,no_progress,349.476831,,,,,
124,PPO,42,95.442049,88.198127,353,False,37,283,13.074205,12.190813,no_progress,351.257691,,,,,
125,PPO,42,99.975618,88.581484,343,False,38,283,13.427562,12.226148,no_progress,352.784764,,,,,
126,PPO,42,97.375618,92.718481,369,False,38,283,13.427562,12.720848,no_progress,354.422128,,,,,
127,PPO,42,95.842049,92.345124,349,False,37,283,13.074205,12.685512,no_progress,355.983874,,,,,
128,PPO,42,94.742049,92.265124,360,False,37,283,13.074205,12.685512,no_progress,367.196128,-0.046417,,-0.001976,0.079370,1.285669
129,PPO,42,88.041343,94.225265,321,False,34,283,12.014134,12.897527,no_progress,368.613129,,,,,
130,PPO,42,93.408481,94.305265,338,False,36,283,12.720848,12.897527,no_progress,370.106106,,,,,
131,PPO,42,100.809187,94.611979,370,False,39,283,13.780919,12.968198,no_progress,371.760986,,,,,
132,PPO,42,89.874912,94.055265,338,False,35,283,12.367491,12.897527,no_progress,373.224691,,,,,
133,PPO,42,93.208481,94.871979,340,False,36,283,12.720848,12.968198,no_progress,374.707216,,,,,
134,PPO,42,95.042049,94.831979,357,False,37,283,13.074205,12.968198,no_progress,376.281054,,,,,
135,PPO,42,100.475618,94.881979,338,False,38,283,13.427562,12.968198,no_progress,377.756205,,,,,
136,PPO,42,91.342756,94.278693,500,False,40,283,14.134276,13.038869,max_steps,379.979962,,,,,
137,PPO,42,100.375618,94.732049,339,False,38,283,13.427562,13.074205,no_progress,381.497123,,,,,
138,PPO,42,96.042049,94.862049,347,False,37,283,13.074205,13.074205,no_progress,383.256126,,,,,
139,PPO,42,25.503534,88.608269,275,False,15,283,5.300353,12.402827,no_progress,384.592282,,,,,
140,PPO,42,101.175618,89.384982,331,False,38,283,13.427562,12.473498,no_progress,395.651337,-0.048056,,-0.000909,0.071655,1.301218
141,PPO,42,58.439223,85.147986,299,False,25,283,8.833922,11.978799,no_progress,397.007738,,,,,
142,PPO,42,86.674912,84.827986,370,False,35,283,12.367491,11.978799,no_progress,398.671047,,,,,
143,PPO,42,97.142049,85.221343,336,False,37,283,13.074205,12.014134,no_progress,400.141517,,,,,
144,PPO,42,38.837809,79.600919,283,False,19,283,6.713781,11.378092,no_progress,401.422110,,,,,
145,PPO,42,99.609187,79.514276,382,False,39,283,13.780919,11.413428,no_progress,403.129887,,,,,
146,PPO,42,86.608481,79.040848,406,False,36,283,12.720848,11.272085,no_progress,404.946647,,,,,
147,PPO,42,90.408481,78.044134,368,False,36,283,12.720848,11.201413,no_progress,406.628647,,,,,
148,PPO,42,98.242049,78.264134,325,False,37,283,13.074205,11.201413,no_progress,408.112848,,,,,
149,PPO,42,99.875618,85.701343,344,False,38,283,13.427562,12.014134,no_progress,409.692453,,,,,
150,PPO,42,77.174205,83.301201,359,False,32,283,11.307420,11.802120,no_progress,411.300234,,,,,
151,PPO,42,97.575618,87.214841,367,False,38,283,13.427562,12.261484,no_progress,422.242831,-0.052290,,-0.003193,0.065864,1.311258
152,PPO,42,97.575618,88.304912,367,False,38,283,13.427562,12.367491,no_progress,423.975090,,,,,
153,PPO,42,99.375618,88.528269,349,False,38,283,13.427562,12.402827,no_progress,425.504825,,,,,
154,PPO,42,97.875618,94.432049,364,False,38,283,13.427562,13.074205,no_progress,427.121909,,,,,
155,PPO,42,50.172085,89.488339,311,False,23,283,8.127208,12.508834,no_progress,428.503936,,,,,
156,PPO,42,99.775618,90.805053,345,False,38,283,13.427562,12.579505,no_progress,430.020268,,,,,
157,PPO,42,99.375618,91.701767,349,False,38,283,13.427562,12.650177,no_progress,431.561180,,,,,
158,PPO,42,100.809187,91.958481,370,False,39,283,13.780919,12.720848,no_progress,433.220501,,,,,
159,PPO,42,97.675618,91.738481,366,False,38,283,13.427562,12.720848,no_progress,434.854094,,,,,
160,PPO,42,96.975618,93.718622,373,False,38,283,13.427562,12.932862,no_progress,436.511346,,,,,
161,PPO,42,100.809187,94.041979,370,False,39,283,13.780919,12.968198,no_progress,438.154516,,,,,
162,PPO,42,96.275618,93.911979,380,False,38,283,13.427562,12.968198,no_progress,439.855739,,,,,
163,PPO,42,93.008481,93.275265,342,False,36,283,12.720848,12.897527,no_progress,450.168701,-0.054365,,-0.006745,0.067220,1.288489
164,PPO,42,99.709187,93.458622,381,False,39,283,13.780919,12.932862,no_progress,451.861380,,,,,
165,PPO,42,101.475618,98.588975,328,False,38,283,13.427562,13.462898,no_progress,453.313369,,,,,
166,PPO,42,86.675618,97.278975,476,False,38,283,13.427562,13.462898,no_progress,455.486100,,,,,
167,PPO,42,101.709187,97.512332,361,False,39,283,13.780919,13.498233,no_progress,457.160662,,,,,
168,PPO,42,96.275618,97.058975,380,False,38,283,13.427562,13.462898,no_progress,458.971830,,,,,
